"fte","xpert"
"AC Ajaccio","Ajaccio"
"Amiens","Amiens"
"Angers","Angers"
"AS Monaco","Monaco"
"AS Nancy Lorraine","Nancy"
"Auxerre","Auxerre"
"Bastia","Bastia"
"Beziers AS","Beziers"
"Bordeaux","Bordeaux"
"Bourg-Peronnas","Bourg Peronnas"
"Brest","Brest"
"Caen","Caen"
"Chateauroux","Chateauroux"
"Clermont Foot","Clermont"
"Dijon FCO","Dijon"
"GFC Ajaccio","Ajaccio GFCO"
"Grenoble","Grenoble"
"Guingamp","Guingamp"
"Le Havre","Le Havre"
"Lens","Lens"
"Lille","Lille"
"Lorient","Lorient"
"Lyon","Lyon"
"Marseille","Marseille"
"Metz","Metz"
"Montpellier","Montpellier"
"Nantes","Nantes"
"Nice","Nice"
"Nimes","Nimes"
"Niort","Niort"
"Orléans","Orleans"
"Paris FC","Paris FC"
"Paris Saint-Germain","Paris SG"
"Red Star FC 93","Red Star"
"Reims","Reims"
"Sochaux","Sochaux"
"St Etienne","St Etienne"
"Stade Rennes","Rennes"
"Strasbourg","Strasbourg"
"Toulouse","Toulouse"
"Tours","Tours"
"Troyes","Troyes"
"US Quevilly","Quevilly Rouen"
"Valenciennes","Valenciennes"
